1428-04-06L0	외교-명(明) 
1428-04-14L0	사법-행형(行刑) 왕실-의식(儀式) 왕실-종친(宗親) 정론-간쟁(諫諍) 
1428-04-23L0	인사-선발(選拔) 사상-유학(儒學) 어문학-문학(文學) 역사-전사(前史) 교육-인문교육(人文敎育) 정론(政論) 
1428-04-04L1	왕실-의식(儀式) 사법-행형(行刑) 역사-고사(故事) 윤리(倫理) 인사-선발(選拔) 재정-진상(進上) 
1428-04-18L1	어문학-어학(語學) 교육-인문교육(人文敎育) 역사-고사(故事) 
1428-04-22L1	인사-관리(管理) 역사-편사(編史) 
1428-04-23L1	사법-법제(法制) 사법-재판(裁判) 신분(身分) 
1428-06-22L0	외교-명(明) 광업-광산(鑛山) 
1428-08-07L0	건설-건축(建築) 교육-인문교육(人文敎育) 
1428-08-14L0	군사-지방군(地方軍) 행정-지방행정(地方行政) 
1428-08-16L0	외교-명(明) 
1428-09-07L0	외교-명(明) 풍속-예속(禮俗) 역사-고사(故事) 
1428-09-14L0	왕실-의식(儀式) 풍속-예속(禮俗) 역사-고사(故事) 가족-가족(家族) 
1428-09-17L0	왕실-국왕(國王) 왕실-의식(儀式) 농업-양전(量田) 
1428-09-17L0	왕실-경연(經筵) 왕실-종친(宗親) 
1428-10-04L0	외교-명(明) 
1428-10-20L0	군사-관방(關防) 군사-군기(軍器) 외교-야(野) 외교-왜(倭) 행정-지방행정(地方行政) 
1428-10-22L0	사법-행형(行刑) 인사-임면(任免) 정론-간쟁(諫諍) 윤리(倫理) 
1428-11-03L0	왕실-국왕(國王) 외교-명(明) 
1428-11-23L0	사법-재판(裁判) 사법-행형(行刑) 
1428-12-06L0	군사-관방(關防) 행정-지방행정(地方行政) 과학-지학(地學) 
1429-01-03L0	인사-선발(選拔) 교육-인문교육(人文敎育) 역사-고사(故事) 무역(貿易) 
1429-01-06L0	왕실-국왕(國王) 사상-불교(佛敎) 건설-건축(建築) 외교-명(明) 
1429-03-22L0	재정-전세(田稅) 재정-국용(國用) 구휼(救恤) 군사-병참(兵站) 교통(交通) 
1429-04-18L0	왕실-국왕(國王) 사법-재판(裁判) 군사-지방군(地方軍) 
1429-04-24L0	외교-명(明) 
1429-04-27L0	교육-인문교육(人文敎育) 행정-중앙행정(中央行政) 역사-고사(故事) 
1429-05-14L0	외교-명(明) 무역(貿易) 
1429-05-26L0	왕실-경연(經筵) 왕실-의식(儀式) 인사-선발(選拔) 교육-인문교육(人文敎育) 
1429-06-09L0	왕실-의식(儀式) 왕실-경연(經筵) 인사-선발(選拔) 교육(敎育) 
1429-06-19L0	왕실-의식(儀式) 외교-명(明) 사법-행형(行刑) 사법-치안(治安) 
1429-06-23L0	왕실-의식(儀式) 윤리(倫理) 풍속-풍속(風俗) 건설-건축(建築) 농업-임업(林業) 
1429-06-24L0	왕실-사급(賜給) 인사-관리(管理) 인물(人物) 역사-고사(故事) 
1429-06-29L0	외교-명(明) 
1429-07-11L0	왕실-의식(儀式) 농업-농작(農作) 인사-임면(任免) 어문학-문학(文學) 
1429-07-18L0	외교-명(明) 
1429-07-25L0	왕실-국왕(國王) 왕실-의식(儀式) 신분-천인(賤人) 풍속-예속(禮俗) 
1429-07-30L0	외교-명(明) 인사-임면(任免) 무역(貿易) 
1429-08-04L0	외교-명(明) 무역(貿易) 왕실-의식(儀式) 
1429-08-21L0	왕실-국왕(國王) 사법(司法) 호구-이동(移動) 역사-고사(故事) 재정-전세(田稅) 재정-역(役) 군사-군정(軍政) 
1429-09-01L0	외교-명(明) 
1429-09-17L0	군사-군기(軍器) 군사-관방(關防) 
1429-10-16L0	군사-관방(關防) 
1429-10-20L0	왕실-의식(儀式) 왕실-국왕(國王) 외교-명(明) 무역(貿易) 
1429-12-09L0	왕실-의식(儀式) 외교-명(明) 외교-왜(倭) 농업-수리(水利) 무역(貿易) 
1429-12-11L0	군사-지방군(地方軍) 
1429-12-15L0	왕실-의식(儀式) 왕실-국왕(國王) 외교-명(明) 무역(貿易) 
1429-12-26L0	왕실-의식(儀式) 외교-명(明) 
1430-01-11L0	외교-명(明) 
1430-01-12L0	외교-명(明) 
1430-01-15L0	외교-명(明) 인물(人物) 
1430-01-21L0	왕실-의식(儀式) 왕실-국왕(國王) 왕실-종친(宗親) 정론-정론(政論) 
1430-03-24L0	사법-행형(行刑) 
1727-03-01L1	사법-치안(治安) 사법-탄핵(彈劾) 사법-법제(法制) 공업(工業) 
1727-03-01L1	역사-전사(前史) 
1727-03-01L1	역사-전사(前史) 
1727-03-01L1	인물(人物) 왕실-사급(賜給) 왕실-의식(儀式) 인사-관리(管理) 
1727-03-01L1	교육-특수교육(特殊敎育) 의생활-예복(禮服) 
1727-03-01L1	역사-편사(編史) 
1727-03-01L1	외교-명(明) 
1430-05-08L0	군사-중앙군(中央軍) 
1430-05-25L0	윤리(倫理) 사법-행형(行刑) 사법-탄핵(彈劾) 
1430-05-27L0	행정-중앙행정(中央行政) 사상-유학(儒學) 
1430-06-18L0	왕실-종친(宗親) 사법-법제(法制) 교육-특수교육(特殊敎育) 
1430-07-27L0	외교-왜(倭) 무역(貿易) 
1430-07-28L0	왕실-의식(儀式) 외교-명(明) 의생활(衣生活) 
1430-07-30L0	왕실-의식(儀式) 왕실-국왕(國王) 왕실-종친(宗親) 외교-명(明) 
1430-08-10L0	재정-전세(田稅) 농업-전제(田制) 농업-양전(量田) 도량형(度量衡) 신분(身分) 역사-고사(故事) 금융-화폐(貨幣) 행정-지방행정(地方行政) 인사-임면(任免) 
1430-08-18L0	왕실-의식(儀式) 인사-임면(任免) 외교-명(明) 사법-탄핵(彈劾) 
1430-08-24L0	외교-명(明) 
1430-09-11L0	왕실-의식(儀式) 예술-음악(音樂) 외교-명(明) 농업-농작(農作) 역사-고사(故事) 과학-천기(天氣) 
1430-10-13L0	인사-임면(任免) 사법-재판(裁判) 사법-탄핵(彈劾) 
1430-10-23L0	왕실-의식(儀式) 외교-명(明) 
1430-10-29L0	외교-명(明) 사법-재판(裁判) 사법-치안(治安) 인사-관리(管理) 왕실-의식(儀式) 
1430-11-02L0	금융-화폐(貨幣) 예술-음악(音樂) 신분(身分) 풍속-예속(禮俗) 
1430-11-04L0	건설-건축(建築) 군사-관방(關防) 구휼(救恤) 재정-창고(倉庫) 농업-농작(農作) 
1430-11-06L0	외교-명(明) 
1430-11-07L0	교육-인문교육(人文敎育) 역사-고사(故事) 
1430-11-13L0	정론-정론(政論) 사법-탄핵(彈劾) 
1430-11-15L0	재정-역(役) 
1430-12-01L0	사법-재판(裁判) 행정(行政) 역사-고사(故事) 
1430-12-02L0	왕실-의식(儀式) 예술-음악(音樂) 역사-고사(故事) 
1430-12-15L0	외교-명(明) 
1431-01-10L0	왕실-의식(儀式) 외교-야(野) 
1431-01-11L0	인사-관리(管理) 인사-선발(選拔) 외교-유구(琉球) 외교-명(明) 예술-음악(音樂) 왕실-종친(宗親) 역사-고사(故事) 
1431-01-12L0	주생활-가옥(家屋) 왕실(王室) 역사-고사(故事) 
1431-01-14L0	왕실-의식(儀式) 왕실-사급(賜給) 외교-야(野) 군사-병법(兵法) 
1431-01-21L0	왕실-의식(儀式) 왕실-사급(賜給) 
1431-01-24L0	재정-진상(進上) 행정-지방행정(地方行政) 
1431-01-30L0	왕실-경연(經筵) 왕실-행행(行幸) 군사-병법(兵法) 역사-고사(故事) 
1431-02-23L0	외교-야(野) 
1431-02-25L0	왕실-의식(儀式) 왕실-국왕(國王) 군사-지방군(地方軍) 군사-휼병(恤兵) 군사-병참(兵站) 농업-개간(開墾) 
1431-02-25L0	왕실-의식(儀式) 왕실-국왕(國王) 군사-지방군(地方軍) 군사-휼병(恤兵) 군사-병참(兵站) 농업-개간(開墾) 
1431-03-06L0	왕실-의식(儀式) 왕실-국왕(國王) 외교-왜(倭) 
1431-03-14L0	정론-정론(政論) 재정-역(役) 호구-이동(移動) 교통-육운(陸運) 신분(身分) 
1431-03-17L0	정론-정론(政論) 사상-유학(儒學) 
1431-03-19L0	교육-특수교육(特殊敎育) 어문학-어학(語學) 
1431-03-19L0	호구-이동(移動) 
1431-03-20L0	역사-편사(編史) 
1431-03-23L0	신분-신량역천(身良役賤) 사법-재판(裁判) 외교-명(明) 무역(貿易) 
1431-03-25L0	외교-명(明) 행정-중앙행정(中央行政) 
1431-03-27L0	풍속-풍속(風俗) 군사-금화(禁火) 
1431-04-03L0	군사-금화(禁火) 왕실-종사(宗社) 왕실-의식(儀式) 공업-관청수공(官廳手工) 건설(建設) 
1431-05-01L0	왕실-의식(儀式) 
1431-05-03L0	왕실-의식(儀式) 농업-농작(農作) 
1431-05-12L0	행정-지방행정(地方行政) 
1431-05-16L0	외교-왜(倭) 
1431-05-17L0	윤리(倫理) 풍속-예속(禮俗) 왕실-사급(賜給) 
1431-05-20L0	사법-탄핵(彈劾) 신분(身分) 왕실-비빈(妃嬪) 
1431-05-23L0	외교-야(野) 외교-명(明) 
1431-05-29L0	외교-왜(倭) 
1431-06-08L0	왕실-종사(宗社) 왕실-의식(儀式) 
1431-06-19L0	왕실-비빈(妃嬪) 인사-임면(任免) 인사-관리(管理) 
1431-06-23L0	왕실-사급(賜給) 왕실-종친(宗親) 왕실-의식(儀式) 
1431-06-24L0	행정-중앙행정(中央行政) 군사-중앙군(中央軍) 왕실(王室) 
1431-06-27L0	왕실-의식(儀式) 
1431-07-04L0	인사-관리(管理) 사법-법제(法制) 역사-고사(故事) 
