date,pname,dname,grade,level
1431-01-12L0,우의정(古議政),의정부,정1품,
1431-01-30L0,우의정(古議政),의정부,정1품,
1431-02-23L0,우의정(古議政),의정부,정1품,
1431-02-25L0,우의정(古議政),의정부,정1품,
1431-02-25L0,우의정(古議政),의정부,정1품,
1431-03-06L0,우의정(古議政),의정부,정1품,
1431-03-17L0,상정소 제조(詳定所提調),상정소,정2품,
1431-03-19L0,우의정(古議政),의정부,정1품,
1431-03-20L0,우의정(古議政),의정부,정1품,
1431-12-02L0,좌의정(右議政),의정부,정1품,
1432-10-24L0,제조(提調),관습도감,정2품,
1432-12-13L0,좌의정(右議政),의정부,정1품,
1433-08-20L1,좌의정(右議政),의정부,정1품,
1433-11-11L0,좌의정(右議政),의정부,정1품,
1434-01-06L0,좌의정(右議政),의정부,정1품,
